@relation 'training_classifier: -C 4'

@attribute QuestionWord {who,what,when,where,which,Give||Show,Is||Are||Did,how,Misc}
@attribute Person {Person,NoPerson}
@attribute NumberOfToken numeric
@attribute NumberOfNouns numeric
@attribute NumberOfNumbers numeric
@attribute NumberOfVerbs numeric
@attribute NumberOfAdjectives numeric
@attribute Comperative {Comperative,NoComperative}
@attribute TripleCandidatesCount numeric
@attribute class {' {\"v1\" @\"r5\" \"r4\"; \"v1\" @\"r3\" \"r2\"}',' {\"r1\" @\"r3\" \"v2\"; \"v2\" @\"r5\" \"v4\"}',' {\"r1\" @\"r3\" \"v2\"}',' {\"v1\" @\"r7\" \"v6\"; \"v1\" @\"r5\" \"r4\"; \"v1\" @\"r3\" \"r2\"}',' {\"r1\" @\"r3\" \"r2\"}',' {\"v1\" @\"r3\" \"r2\"}',' {\"v1\" @\"r5\" \"v4\"; \"v1\" @\"r3\" \"r2\"}',' {\"r1\" @\"r3\" \"v2\"; \"v2\" @\"r5\" \"r4\"}'}

@data
where,NoPerson,7,2,0,2,1,NoComperative,3,' {\"v1\" @\"r5\" \"r4\"; \"v1\" @\"r3\" \"r2\"}'
Misc,NoPerson,10,3,0,2,0,NoComperative,3,' {\"v1\" @\"r5\" \"r4\"; \"v1\" @\"r3\" \"r2\"}'
Misc,NoPerson,14,5,0,1,1,NoComperative,4,' {\"v1\" @\"r5\" \"r4\"; \"v1\" @\"r3\" \"r2\"}'
Misc,NoPerson,8,2,0,2,0,NoComperative,2,' {\"v1\" @\"r5\" \"r4\"; \"v1\" @\"r3\" \"r2\"}'
which,NoPerson,5,2,0,1,0,NoComperative,2,' {\"v1\" @\"r5\" \"r4\"; \"v1\" @\"r3\" \"r2\"}'
Misc,NoPerson,5,2,0,1,0,NoComperative,1,' {\"v1\" @\"r5\" \"r4\"; \"v1\" @\"r3\" \"r2\"}'
which,Person,7,3,0,2,0,NoComperative,3,' {\"v1\" @\"r5\" \"r4\"; \"v1\" @\"r3\" \"r2\"}'
Misc,NoPerson,5,1,0,1,1,NoComperative,1,' {\"v1\" @\"r5\" \"r4\"; \"v1\" @\"r3\" \"r2\"}'
Misc,NoPerson,11,5,0,1,0,NoComperative,3,' {\"v1\" @\"r5\" \"r4\"; \"v1\" @\"r3\" \"r2\"}'
which,NoPerson,5,3,0,1,0,NoComperative,2,' {\"v1\" @\"r5\" \"r4\"; \"v1\" @\"r3\" \"r2\"}'
how,NoPerson,6,2,0,2,1,NoComperative,1,' {\"v1\" @\"r5\" \"r4\"; \"v1\" @\"r3\" \"r2\"}'
Misc,NoPerson,6,3,0,0,0,NoComperative,2,' {\"v1\" @\"r5\" \"r4\"; \"v1\" @\"r3\" \"r2\"}'
Misc,NoPerson,11,4,0,2,0,NoComperative,2,' {\"v1\" @\"r5\" \"r4\"; \"v1\" @\"r3\" \"r2\"}'
Misc,Person,8,3,0,1,0,NoComperative,3,' {\"v1\" @\"r5\" \"r4\"; \"v1\" @\"r3\" \"r2\"}'
Misc,NoPerson,5,1,0,1,1,NoComperative,1,' {\"v1\" @\"r5\" \"r4\"; \"v1\" @\"r3\" \"r2\"}'
Misc,NoPerson,8,2,0,3,0,NoComperative,2,' {\"v1\" @\"r5\" \"r4\"; \"v1\" @\"r3\" \"r2\"}'
how,NoPerson,9,3,0,1,1,NoComperative,2,' {\"v1\" @\"r5\" \"r4\"; \"v1\" @\"r3\" \"r2\"}'
which,NoPerson,5,2,0,1,0,NoComperative,2,' {\"v1\" @\"r5\" \"r4\"; \"v1\" @\"r3\" \"r2\"}'
Misc,NoPerson,11,3,0,2,0,NoComperative,2,' {\"v1\" @\"r5\" \"r4\"; \"v1\" @\"r3\" \"r2\"}'
Misc,NoPerson,7,2,0,1,0,NoComperative,1,' {\"v1\" @\"r5\" \"r4\"; \"v1\" @\"r3\" \"r2\"}'
Misc,Person,9,3,0,1,0,NoComperative,2,' {\"v1\" @\"r5\" \"r4\"; \"v1\" @\"r3\" \"r2\"}'
Misc,Person,10,2,0,2,0,NoComperative,2,' {\"v1\" @\"r5\" \"r4\"; \"v1\" @\"r3\" \"r2\"}'
which,Person,8,3,0,2,0,NoComperative,2,' {\"v1\" @\"r5\" \"r4\"; \"v1\" @\"r3\" \"r2\"}'
Misc,Person,8,2,0,2,0,NoComperative,2,' {\"v1\" @\"r5\" \"r4\"; \"v1\" @\"r3\" \"r2\"}'
Misc,NoPerson,8,2,0,2,0,NoComperative,1,' {\"v1\" @\"r5\" \"r4\"; \"v1\" @\"r3\" \"r2\"}'
how,Person,8,3,0,1,1,NoComperative,1,' {\"v1\" @\"r5\" \"r4\"; \"v1\" @\"r3\" \"r2\"}'
which,NoPerson,7,3,0,2,0,NoComperative,2,' {\"v1\" @\"r5\" \"r4\"; \"v1\" @\"r3\" \"r2\"}'
Misc,NoPerson,9,3,0,1,0,NoComperative,2,' {\"v1\" @\"r5\" \"r4\"; \"v1\" @\"r3\" \"r2\"}'
which,NoPerson,6,2,0,2,0,NoComperative,2,' {\"v1\" @\"r5\" \"r4\"; \"v1\" @\"r3\" \"r2\"}'
Misc,NoPerson,5,1,0,1,1,NoComperative,1,' {\"v1\" @\"r5\" \"r4\"; \"v1\" @\"r3\" \"r2\"}'
Misc,NoPerson,11,3,0,2,0,NoComperative,3,' {\"v1\" @\"r5\" \"r4\"; \"v1\" @\"r3\" \"r2\"}'
Misc,Person,7,2,0,1,0,NoComperative,1,' {\"v1\" @\"r5\" \"r4\"; \"v1\" @\"r3\" \"r2\"}'
how,NoPerson,7,2,0,1,1,NoComperative,2,' {\"v1\" @\"r5\" \"r4\"; \"v1\" @\"r3\" \"r2\"}'
who,Person,4,1,0,1,0,NoComperative,1,' {\"v1\" @\"r5\" \"r4\"; \"v1\" @\"r3\" \"r2\"}'
Misc,NoPerson,5,1,0,1,1,NoComperative,1,' {\"v1\" @\"r5\" \"r4\"; \"v1\" @\"r3\" \"r2\"}'
Misc,Person,9,3,0,1,0,NoComperative,2,' {\"v1\" @\"r5\" \"r4\"; \"v1\" @\"r3\" \"r2\"}'
who,NoPerson,7,2,1,1,0,NoComperative,1,' {\"v1\" @\"r5\" \"r4\"; \"v1\" @\"r3\" \"r2\"}'
